date,userId,leaveTypeId,approved,approvedMinutes,unpaid,unpaidMinutes,deniedMinutes,deniedDays,pending,pendingMinutes,ptoCost,remaining
2023-05-13,13214554,0,1.0,480.0,1.0,480.0,0.0,0.0,0.0,0.0,0.0,5.0
2023-05-14,13214546,4380395,1.0,480.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0
2023-05-14,13214575,0,1.0,480.0,1.0,480.0,0.0,0.0,0.0,0.0,0.0,5.0
2023-05-14,13214559,0,1.0,480.0,1.0,480.0,0.0,0.0,0.0,0.0,0.0,5.0
2023-05-14,13214540,0,1.0,480.0,1.0,480.0,0.0,0.0,0.0,0.0,0.0,2.75
2023-05-14,13214554,0,1.0,480.0,1.0,480.0,0.0,0.0,0.0,0.0,0.0,5.0
2023-05-14,13214599,4380392,1.0,210.0,1.0,210.0,0.0,0.0,0.0,0.0,0.0,5.0
2023-05-15,13214557,0,1.0,480.0,1.0,480.0,0.0,0.0,0.0,0.0,0.0,5.0
2023-05-15,13214528,4380391,0.0,0.0,0.0,0.0,0.0,0.0,1.0,480.0,0.0,0.0
2023-05-15,13214575,0,1.0,480.0,1.0,480.0,0.0,0.0,0.0,0.0,0.0,5.0
2023-05-15,13214554,0,1.0,480.0,1.0,480.0,0.0,0.0,0.0,0.0,0.0,5.0
2023-05-15,13214546,4380395,1.0,480.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0
2023-05-16,13214575,0,1.0,480.0,1.0,480.0,0.0,0.0,0.0,0.0,0.0,5.0
2023-05-16,13214554,0,1.0,480.0,1.0,480.0,0.0,0.0,0.0,0.0,0.0,5.0
2023-05-16,13221172,4380392,1.0,480.0,1.0,480.0,0.0,0.0,0.0,0.0,0.0,5.0
2023-05-16,13217167,0,1.0,480.0,1.0,480.0,0.0,0.0,0.0,0.0,0.0,2.0
2023-05-16,13214546,4380395,1.0,480.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0
2023-05-17,13214546,4380395,1.0,480.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0
2023-05-17,13214575,0,1.0,480.0,1.0,480.0,0.0,0.0,0.0,0.0,0.0,5.0
